NCBI_ID	Parent_NCBI_ID	Organism_Name	Level	Lineage
100883	128827	Coprobacillus	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Erysipelotrichia: 526524;Erysipelotrichales: 526525;Erysipelotrichaceae: 128827;
100884	100883	Coprobacillus cateniformis	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Erysipelotrichia: 526524;Erysipelotrichales: 526525;Erysipelotrichaceae: 128827;Coprobacillus: 100883;
1017280	541000	Pseudoflavonifractor	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Ruminococcaceae: 541000;
102106	84107	Collinsella	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Actinobacteria: 201174;Coriobacteriia: 84998;Coriobacteriales: 84999;Coriobacteriaceae: 84107;
102148	123375	Solobacterium moorei	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Erysipelotrichia: 526524;Erysipelotrichales: 526525;Erysipelotrichaceae: 128827;Solobacterium: 123375;
1034346	1472649	Dielma fastidiosa	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Erysipelotrichia: 526524;Erysipelotrichales: 526525;Erysipelotrichaceae: 128827;Dielma: 1472649;
1156433	1301	Streptococcus sp. I-P16	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Lactobacillales: 186826;Streptococcaceae: 1300;Streptococcus: 1301;
116085	33042	Coprococcus catus	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Lachnospiraceae: 186803;Coprococcus: 33042;
119065	80840	unclassified Burkholderiales	no rank	cellular organisms: 131567;Bacteria: 2;Proteobacteria: 1224;Betaproteobacteria: 28216;Burkholderiales: 80840;
119858	653685	Bacillus sonorensis	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Bacillales: 1385;Bacillaceae: 186817;Bacillus: 1386;Bacillus subtilis group: 653685;
1203635	1743	Propionibacterium sp. KPL2009	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Actinobacteria: 201174;Actinobacteria: 1760;Propionibacteriales: 85009;Propionibacteriaceae: 31957;Propionibacterium: 1743;
1224	2	Proteobacteria	phylum	cellular organisms: 131567;Bacteria: 2;
123375	128827	Solobacterium	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Erysipelotrichia: 526524;Erysipelotrichales: 526525;Erysipelotrichaceae: 128827;
1236	1224	Gammaproteobacteria	class	cellular organisms: 131567;Bacteria: 2;Proteobacteria: 1224;
1239	1783272	Firmicutes	phylum	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;
1263	541000	Ruminococcus	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Ruminococcaceae: 541000;
1279	90964	Staphylococcus	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Bacillales: 1385;Staphylococcaceae: 90964;
128827	526525	Erysipelotrichaceae	family	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Erysipelotrichia: 526524;Erysipelotrichales: 526525;
1292	1279	Staphylococcus warneri	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Bacillales: 1385;Staphylococcaceae: 90964;Staphylococcus: 1279;
1300	186826	Streptococcaceae	family	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Lactobacillales: 186826;
1301	1300	Streptococcus	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Lactobacillales: 186826;Streptococcaceae: 1300;
1302	1301	Streptococcus gordonii	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Lactobacillales: 186826;Streptococcaceae: 1300;Streptococcus: 1301;
1304	1301	Streptococcus salivarius	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Lactobacillales: 186826;Streptococcaceae: 1300;Streptococcus: 1301;
1309	1301	Streptococcus mutans	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Lactobacillales: 186826;Streptococcaceae: 1300;Streptococcus: 1301;
1318	1301	Streptococcus parasanguinis	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Lactobacillales: 186826;Streptococcaceae: 1300;Streptococcus: 1301;
1323	1573536	Faecalicoccus pleomorphus	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Erysipelotrichia: 526524;Erysipelotrichales: 526525;Erysipelotrichaceae: 128827;Faecalicoccus: 1573536;
1328	671232	Streptococcus anginosus	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Lactobacillales: 186826;Streptococcaceae: 1300;Streptococcus: 1301;Streptococcus anginosus group: 671232;
133925	1643824	Olsenella	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Actinobacteria: 201174;Coriobacteriia: 84998;Coriobacteriales: 84999;Atopobiaceae: 1643824;
1343	1301	Streptococcus vestibularis	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Lactobacillales: 186826;Streptococcaceae: 1300;Streptococcus: 1301;
1344959	544	Citrobacter freundii complex	species group	cellular organisms: 131567;Bacteria: 2;Proteobacteria: 1224;Gammaproteobacteria: 1236;Enterobacterales: 91347;Enterobacteriaceae: 543;Citrobacter: 544;
1350	81852	Enterococcus	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Lactobacillales: 186826;Enterococcaceae: 81852;
1351	1350	Enterococcus faecalis	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Lactobacillales: 186826;Enterococcaceae: 81852;Enterococcus: 1350;
1353	1350	Enterococcus gallinarum	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Lactobacillales: 186826;Enterococcaceae: 81852;Enterococcus: 1350;
1357	1300	Lactococcus	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Lactobacillales: 186826;Streptococcaceae: 1300;
1358	1357	Lactococcus lactis	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Lactobacillales: 186826;Streptococcaceae: 1300;Lactococcus: 1357;
135858	128827	Catenibacterium	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Erysipelotrichia: 526524;Erysipelotrichales: 526525;Erysipelotrichaceae: 128827;
