AF02-12	PRJNA482748	SAMN09734161	QTXS00000000	Roseburia sp. AF02-12
AF02-13	PRJNA482748	SAMN09734162	QTXR00000000	Coprobacillus sp. AF02-13
AF02-27	PRJNA482748	SAMN09734163	QSBX00000000	Anaerotruncus sp. AF02-27
AF02-29	PRJNA482748	SAMN09734164	QUHX00000000	Clostridium sp. AF02-29
AF02-36-1	PRJNA482748	SAMN09734165	QSBW00000000	Bifidobacterium pseudocatenulatum 
AF02-42	PRJNA482748	SAMN09734166	QWGK00000000	Clostridiaceae bacterium AF02-42
AF02-46-1	PRJNA482748	SAMN09734167	QSBV00000000	Collinsella sp. AF02-46-1
AF03-10	PRJNA482748	SAMN09734168	QSBU00000000	Bifidobacterium longum 
AF03-13	PRJNA482748	SAMN09734169	QSBT00000000	Weissella confusa 
AF03-20	PRJNA482748	SAMN09734170	QSBS00000000	Bifidobacterium longum 
AF03-26	PRJNA482748	SAMN09734171	QSBR00000000	Bacteroides thetaiotaomicron 
AF03-27	PRJNA482748	SAMN09734172	QSBQ00000000	Bifidobacterium longum 
AF03-28	PRJNA482748	SAMN09734173	QSBP00000000	Bifidobacterium pseudocatenulatum 
AF04-12	PRJNA482748	SAMN09734174	QSBO00000000	Bacteroides vulgatus 
AF04-13	PRJNA482748	SAMN09734175	QSBN00000000	Bifidobacterium longum 
AF04-15	PRJNA482748	SAMN09734176	QSBM00000000	[Clostridium] asparagiforme 
AF04-17	PRJNA482748	SAMN09734177	QSBL00000000	Bacteroides ovatus 
AF04-22	PRJNA482748	SAMN09734178	QTMU00000000	Bacteroides sp. AF04-22
AF04-24	PRJNA482748	SAMN09734179	QSBK00000000	Collinsella sp. AF04-24
AF04-25	PRJNA482748	SAMN09734180	QSBJ00000000	Bacteroides vulgatus 
AF04-45	PRJNA482748	SAMN09734181	QTXQ00000000	Anaerostipes sp. AF04-45
AF04-46	PRJNA482748	SAMN09734182	QSBI00000000	Bacteroides ovatus 
AF04-47	PRJNA482748	SAMN09734183	QSBH00000000	Veillonella parvula 
AF04-6	PRJNA482748	SAMN09734184	QUHW00000000	Tannerella sp. AF04-6
AF05-16	PRJNA482748	SAMN09734185	QSBG00000000	Bifidobacterium longum 
AF05-2	PRJNA482748	SAMN09734186	QSBF00000000	Bifidobacterium longum 
AF05-25	PRJNA482748	SAMN09734187	QSBE00000000	Paeniclostridium sordellii 
AF05-4	PRJNA482748	SAMN09734188	QSBD00000000	Bacteroides stercoris 
AF05-8-2	PRJNA482748	SAMN09734189	QSBC00000000	Collinsella sp. AF05-8-2
AF05-9	PRJNA482748	SAMN09734190	QSBB00000000	Collinsella sp. AF05-9
AF06-14	PRJNA482748	SAMN09734191	QSBA00000000	[Eubacterium] eligens 
AF06-19	PRJNA482748	SAMN09734192	QSAZ00000000	[Eubacterium] rectale 
AF07-16	PRJNA482748	SAMN09734193	QVMC00000000	Sellimonas intestinalis 
AF08-2	PRJNA482748	SAMN09734194	QSAY00000000	Bifidobacterium longum 
