AF02-12	PRJNA482748	SAMN09734161	QTXS00000000	Roseburia sp. AF02-12	2293126
AF02-13	PRJNA482748	SAMN09734162	QTXR00000000	Coprobacillus sp. AF02-13	2293056
AF02-27	PRJNA482748	SAMN09734163	QSBX00000000	Anaerotruncus sp. AF02-27	2292191
AF02-29	PRJNA482748	SAMN09734164	QUHX00000000	Clostridium sp. AF02-29	2292993
AF02-36-1	PRJNA482748	SAMN09734165	QSBW00000000	Bifidobacterium pseudocatenulatum	28026
AF02-42	PRJNA482748	SAMN09734166	QWGK00000000	Clostridiaceae bacterium AF02-42	2305246
AF02-46-1	PRJNA482748	SAMN09734167	QSBV00000000	Collinsella sp. AF02-46-1	2292207
AF03-10	PRJNA482748	SAMN09734168	QSBU00000000	Bifidobacterium longum	216816
AF03-13	PRJNA482748	SAMN09734169	QSBT00000000	Weissella confusa	1583
AF03-20	PRJNA482748	SAMN09734170	QSBS00000000	Bifidobacterium longum	216816
AF03-26	PRJNA482748	SAMN09734171	QSBR00000000	Bacteroides thetaiotaomicron	818
AF03-27	PRJNA482748	SAMN09734172	QSBQ00000000	Bifidobacterium longum	216816
AF03-28	PRJNA482748	SAMN09734173	QSBP00000000	Bifidobacterium pseudocatenulatum	28026
AF04-12	PRJNA482748	SAMN09734174	QSBO00000000	Bacteroides vulgatus	821
AF04-13	PRJNA482748	SAMN09734175	QSBN00000000	Bifidobacterium longum	216816
AF04-15	PRJNA482748	SAMN09734176	QSBM00000000	[Clostridium] asparagiforme	333367
AF04-17	PRJNA482748	SAMN09734177	QSBL00000000	Bacteroides ovatus	28116
AF04-22	PRJNA482748	SAMN09734178	QTMU00000000	Bacteroides sp. AF04-22	2292913
AF04-24	PRJNA482748	SAMN09734179	QSBK00000000	Collinsella sp. AF04-24	2292208
AF04-25	PRJNA482748	SAMN09734180	QSBJ00000000	Bacteroides vulgatus	821
AF04-45	PRJNA482748	SAMN09734181	QTXQ00000000	Anaerostipes sp. AF04-45	2292912
AF04-46	PRJNA482748	SAMN09734182	QSBI00000000	Bacteroides ovatus	28116
AF04-47	PRJNA482748	SAMN09734183	QSBH00000000	Veillonella parvula	29466
AF04-6	PRJNA482748	SAMN09734184	QUHW00000000	Tannerella sp. AF04-6	2293248
AF05-16	PRJNA482748	SAMN09734185	QSBG00000000	Bifidobacterium longum	216816
AF05-2	PRJNA482748	SAMN09734186	QSBF00000000	Bifidobacterium longum	216816
AF05-25	PRJNA482748	SAMN09734187	QSBE00000000	Paeniclostridium sordellii	1505
AF05-4	PRJNA482748	SAMN09734188	QSBD00000000	Bacteroides stercoris	46506
AF05-8-2	PRJNA482748	SAMN09734189	QSBC00000000	Collinsella sp. AF05-8-2	2292209
AF05-9	PRJNA482748	SAMN09734190	QSBB00000000	Collinsella sp. AF05-9	2292210
AF06-14	PRJNA482748	SAMN09734191	QSBA00000000	[Eubacterium] eligens	39485
AF06-19	PRJNA482748	SAMN09734192	QSAZ00000000	[Eubacterium] rectale	39491
AF07-16	PRJNA482748	SAMN09734193	QVMC00000000	Sellimonas intestinalis	1653434
AF08-2	PRJNA482748	SAMN09734194	QSAY00000000	Bifidobacterium longum	216816
AF08-23	PRJNA482748	SAMN09734195	QUHV00000000	Collinsella sp. AF08-23	2292211
AF08-3	PRJNA482748	SAMN09734196	QSAX00000000	Lactobacillus amylovorus	1604
AF09-1A	PRJNA482748	SAMN09734197	QUHU00000000	Coprobacillus sp. AF09-1A	2293057
AF10-13	PRJNA482748	SAMN09734198	QSAW00000000	Faecalibacterium prausnitzii	853
